fips,name,state,ebirdCode,type
0,UNITED STATES,NA,US,country
1000,ALABAMA,NA,US-AL,state
1001,Autauga County,AL,US-AL-001,county
1003,Baldwin County,AL,US-AL-003,county
1005,Barbour County,AL,US-AL-005,county
1007,Bibb County,AL,US-AL-007,county
1009,Blount County,AL,US-AL-009,county
1011,Bullock County,AL,US-AL-011,county
1013,Butler County,AL,US-AL-013,county
1015,Calhoun County,AL,US-AL-015,county
1017,Chambers County,AL,US-AL-017,county
1019,Cherokee County,AL,US-AL-019,county
1021,Chilton County,AL,US-AL-021,county
1023,Choctaw County,AL,US-AL-023,county
1025,Clarke County,AL,US-AL-025,county
1027,Clay County,AL,US-AL-027,county
1029,Cleburne County,AL,US-AL-029,county
1031,Coffee County,AL,US-AL-031,county
1033,Colbert County,AL,US-AL-033,county
1035,Conecuh County,AL,US-AL-035,county
1037,Coosa County,AL,US-AL-037,county
1039,Covington County,AL,US-AL-039,county
1041,Crenshaw County,AL,US-AL-041,county
1043,Cullman County,AL,US-AL-043,county
1045,Dale County,AL,US-AL-045,county
1047,Dallas County,AL,US-AL-047,county
1049,DeKalb County,AL,US-AL-049,county
1051,Elmore County,AL,US-AL-051,county
1053,Escambia County,AL,US-AL-053,county
1055,Etowah County,AL,US-AL-055,county
1057,Fayette County,AL,US-AL-057,county
1059,Franklin County,AL,US-AL-059,county
1061,Geneva County,AL,US-AL-061,county
1063,Greene County,AL,US-AL-063,county
1065,Hale County,AL,US-AL-065,county
1067,Henry County,AL,US-AL-067,county
1069,Houston County,AL,US-AL-069,county
1071,Jackson County,AL,US-AL-071,county
1073,Jefferson County,AL,US-AL-073,county
1075,Lamar County,AL,US-AL-075,county
1077,Lauderdale County,AL,US-AL-077,county
1079,Lawrence County,AL,US-AL-079,county
1081,Lee County,AL,US-AL-081,county
1083,Limestone County,AL,US-AL-083,county
1085,Lowndes County,AL,US-AL-085,county
1087,Macon County,AL,US-AL-087,county
1089,Madison County,AL,US-AL-089,county
1091,Marengo County,AL,US-AL-091,county
1093,Marion County,AL,US-AL-093,county
1095,Marshall County,AL,US-AL-095,county
1097,Mobile County,AL,US-AL-097,county
1099,Monroe County,AL,US-AL-099,county
1101,Montgomery County,AL,US-AL-101,county
1103,Morgan County,AL,US-AL-103,county
1105,Perry County,AL,US-AL-105,county
1107,Pickens County,AL,US-AL-107,county
1109,Pike County,AL,US-AL-109,county
1111,Randolph County,AL,US-AL-111,county
1113,Russell County,AL,US-AL-113,county
1115,St. Clair County,AL,US-AL-115,county
1117,Shelby County,AL,US-AL-117,county
1119,Sumter County,AL,US-AL-119,county
1121,Talladega County,AL,US-AL-121,county
1123,Tallapoosa County,AL,US-AL-123,county
1125,Tuscaloosa County,AL,US-AL-125,county
1127,Walker County,AL,US-AL-127,county
1129,Washington County,AL,US-AL-129,county
1131,Wilcox County,AL,US-AL-131,county
1133,Winston County,AL,US-AL-133,county
2000,ALASKA,NA,US-AK,state
2013,Aleutians East Borough,AK,US-AK-013,county
2016,Aleutians West Census Area,AK,US-AK-016,county
2020,Anchorage Municipality,AK,US-AK-020,county
2050,Bethel Census Area,AK,US-AK-050,county
2060,Bristol Bay Borough,AK,US-AK-060,county
2068,Denali Borough,AK,US-AK-068,county
2070,Dillingham Census Area,AK,US-AK-070,county
2090,Fairbanks North Star Borough,AK,US-AK-090,county
2100,Haines Borough,AK,US-AK-100,county
2105,Hoonah-Angoon Census Area,AK,US-AK-105,county
2110,Juneau City and Borough,AK,US-AK-110,county
2122,Kenai Peninsula Borough,AK,US-AK-122,county
2130,Ketchikan Gateway Borough,AK,US-AK-130,county
2150,Kodiak Island Borough,AK,US-AK-150,county
2164,Lake and Peninsula Borough,AK,US-AK-164,county
2170,Matanuska-Susitna Borough,AK,US-AK-170,county
2180,Nome Census Area,AK,US-AK-180,county
2185,North Slope Borough,AK,US-AK-185,county
2188,Northwest Arctic Borough,AK,US-AK-188,county
2195,Petersburg Borough,AK,US-AK-195,county
2198,Prince of Wales-Hyder Census Area,AK,US-AK-198,county
2220,Sitka City and Borough,AK,US-AK-220,county
2230,Skagway Municipality,AK,US-AK-230,county
2240,Southeast Fairbanks Census Area,AK,US-AK-240,county
2261,Valdez-Cordova Census Area,AK,US-AK-261,county
2270,Wade Hampton Census Area,AK,US-AK-270,county
2275,Wrangell City and Borough,AK,US-AK-275,county
2282,Yakutat City and Borough,AK,US-AK-282,county
2290,Yukon-Koyukuk Census Area,AK,US-AK-290,county
4000,ARIZONA,NA,US-AZ,state
4001,Apache County,AZ,US-AZ-001,county
4003,Cochise County,AZ,US-AZ-003,county
4005,Coconino County,AZ,US-AZ-005,county
4007,Gila County,AZ,US-AZ-007,county
4009,Graham County,AZ,US-AZ-009,county
4011,Greenlee County,AZ,US-AZ-011,county
4012,La Paz County,AZ,US-AZ-012,county
4013,Maricopa County,AZ,US-AZ-013,county
4015,Mohave County,AZ,US-AZ-015,county
4017,Navajo County,AZ,US-AZ-017,county
4019,Pima County,AZ,US-AZ-019,county
4021,Pinal County,AZ,US-AZ-021,county
4023,Santa Cruz County,AZ,US-AZ-023,county
4025,Yavapai County,AZ,US-AZ-025,county
4027,Yuma County,AZ,US-AZ-027,county
5000,ARKANSAS,NA,US-AR,state
5001,Arkansas County,AR,US-AR-001,county
5003,Ashley County,AR,US-AR-003,county
5005,Baxter County,AR,US-AR-005,county
5007,Benton County,AR,US-AR-007,county
5009,Boone County,AR,US-AR-009,county
5011,Bradley County,AR,US-AR-011,county
5013,Calhoun County,AR,US-AR-013,county
5015,Carroll County,AR,US-AR-015,county
5017,Chicot County,AR,US-AR-017,county
5019,Clark County,AR,US-AR-019,county
5021,Clay County,AR,US-AR-021,county
5023,Cleburne County,AR,US-AR-023,county
5025,Cleveland County,AR,US-AR-025,county
5027,Columbia County,AR,US-AR-027,county
5029,Conway County,AR,US-AR-029,county
5031,Craighead County,AR,US-AR-031,county
5033,Crawford County,AR,US-AR-033,county
5035,Crittenden County,AR,US-AR-035,county
5037,Cross County,AR,US-AR-037,county
5039,Dallas County,AR,US-AR-039,county
5041,Desha County,AR,US-AR-041,county
5043,Drew County,AR,US-AR-043,county
5045,Faulkner County,AR,US-AR-045,county
5047,Franklin County,AR,US-AR-047,county
5049,Fulton County,AR,US-AR-049,county
5051,Garland County,AR,US-AR-051,county
5053,Grant County,AR,US-AR-053,county
5055,Greene County,AR,US-AR-055,county
5057,Hempstead County,AR,US-AR-057,county
5059,Hot Spring County,AR,US-AR-059,county
5061,Howard County,AR,US-AR-061,county
5063,Independence County,AR,US-AR-063,county
5065,Izard County,AR,US-AR-065,county
5067,Jackson County,AR,US-AR-067,county
5069,Jefferson County,AR,US-AR-069,county
5071,Johnson County,AR,US-AR-071,county
5073,Lafayette County,AR,US-AR-073,county
5075,Lawrence County,AR,US-AR-075,county
5077,Lee County,AR,US-AR-077,county
5079,Lincoln County,AR,US-AR-079,county
5081,Little River County,AR,US-AR-081,county
5083,Logan County,AR,US-AR-083,county
5085,Lonoke County,AR,US-AR-085,county
5087,Madison County,AR,US-AR-087,county
5089,Marion County,AR,US-AR-089,county
5091,Miller County,AR,US-AR-091,county
5093,Mississippi County,AR,US-AR-093,county
5095,Monroe County,AR,US-AR-095,county
5097,Montgomery County,AR,US-AR-097,county
5099,Nevada County,AR,US-AR-099,county
5101,Newton County,AR,US-AR-101,county
5103,Ouachita County,AR,US-AR-103,county
5105,Perry County,AR,US-AR-105,county
5107,Phillips County,AR,US-AR-107,county
5109,Pike County,AR,US-AR-109,county
5111,Poinsett County,AR,US-AR-111,county
5113,Polk County,AR,US-AR-113,county
5115,Pope County,AR,US-AR-115,county
5117,Prairie County,AR,US-AR-117,county
5119,Pulaski County,AR,US-AR-119,county
5121,Randolph County,AR,US-AR-121,county
5123,St. Francis County,AR,US-AR-123,county
5125,Saline County,AR,US-AR-125,county
5127,Scott County,AR,US-AR-127,county
5129,Searcy County,AR,US-AR-129,county
5131,Sebastian County,AR,US-AR-131,county
5133,Sevier County,AR,US-AR-133,county
5135,Sharp County,AR,US-AR-135,county
5137,Stone County,AR,US-AR-137,county
5139,Union County,AR,US-AR-139,county
5141,Van Buren County,AR,US-AR-141,county
5143,Washington County,AR,US-AR-143,county
5145,White County,AR,US-AR-145,county
5147,Woodruff County,AR,US-AR-147,county
5149,Yell County,AR,US-AR-149,county
6000,CALIFORNIA,NA,US-CA,state
6001,Alameda County,CA,US-CA-001,county
6003,Alpine County,CA,US-CA-003,county
6005,Amador County,CA,US-CA-005,county
6007,Butte County,CA,US-CA-007,county
6009,Calaveras County,CA,US-CA-009,county
6011,Colusa County,CA,US-CA-011,county
6013,Contra Costa County,CA,US-CA-013,county
6015,Del Norte County,CA,US-CA-015,county
6017,El Dorado County,CA,US-CA-017,county
6019,Fresno County,CA,US-CA-019,county
6021,Glenn County,CA,US-CA-021,county
6023,Humboldt County,CA,US-CA-023,county
6025,Imperial County,CA,US-CA-025,county
6027,Inyo County,CA,US-CA-027,county
6029,Kern County,CA,US-CA-029,county
6031,Kings County,CA,US-CA-031,county
6033,Lake County,CA,US-CA-033,county
6035,Lassen County,CA,US-CA-035,county
6037,Los Angeles County,CA,US-CA-037,county
6039,Madera County,CA,US-CA-039,county
6041,Marin County,CA,US-CA-041,county
6043,Mariposa County,CA,US-CA-043,county
6045,Mendocino County,CA,US-CA-045,county
6047,Merced County,CA,US-CA-047,county
6049,Modoc County,CA,US-CA-049,county
6051,Mono County,CA,US-CA-051,county
6053,Monterey County,CA,US-CA-053,county
6055,Napa County,CA,US-CA-055,county
6057,Nevada County,CA,US-CA-057,county
6059,Orange County,CA,US-CA-059,county
6061,Placer County,CA,US-CA-061,county
6063,Plumas County,CA,US-CA-063,county
6065,Riverside County,CA,US-CA-065,county
6067,Sacramento County,CA,US-CA-067,county
6069,San Benito County,CA,US-CA-069,county
6071,San Bernardino County,CA,US-CA-071,county
6073,San Diego County,CA,US-CA-073,county
6075,San Francisco County,CA,US-CA-075,county
6077,San Joaquin County,CA,US-CA-077,county
6079,San Luis Obispo County,CA,US-CA-079,county
6081,San Mateo County,CA,US-CA-081,county
6083,Santa Barbara County,CA,US-CA-083,county
6085,Santa Clara County,CA,US-CA-085,county
6087,Santa Cruz County,CA,US-CA-087,county
6089,Shasta County,CA,US-CA-089,county
6091,Sierra County,CA,US-CA-091,county
6093,Siskiyou County,CA,US-CA-093,county
6095,Solano County,CA,US-CA-095,county
6097,Sonoma County,CA,US-CA-097,county
6099,Stanislaus County,CA,US-CA-099,county
6101,Sutter County,CA,US-CA-101,county
6103,Tehama County,CA,US-CA-103,county
6105,Trinity County,CA,US-CA-105,county
6107,Tulare County,CA,US-CA-107,county
6109,Tuolumne County,CA,US-CA-109,county
6111,Ventura County,CA,US-CA-111,county
6113,Yolo County,CA,US-CA-113,county
6115,Yuba County,CA,US-CA-115,county
8000,COLORADO,NA,US-CO,state
